계약일자,발주기관,계약방법,목적물,계약명,계약금액,계약상대자
2026-04-09,인천선학초등학교,1인수의,용역,선풍기 청소 실시,1330000,더그린클린
2026-06-10,인천연송초등학교,1인수의,용역,"교내 화단 환경 구성 및 잡초, 배수로 청소 작업",1321000,우성화원
2026-06-08,연평중학교,1인수의,용역,2분기 저수조 청소 실시,1320000,대신환경방역공사
2026-04-30,인천대중예술고등학교,1인수의,용역,"다목적강당 및 급식소, 공연실습장 증축에 따른 건물 사용 전 내부 청소 실시",1320000,동연개발(주)
2026-03-27,논곡중학교,1인수의,용역,2층 다목적실 바닥 매트 철거 및 청소 실시,1320000,클린파인더
2026-03-11,연평중학교,1인수의,용역,1분기 저수조 청소 실시,1320000,대신환경방역공사
2026-04-28,인천명선초등학교,1인수의,용역,2026학년도 각실 냉난방기 실내기 먼지필터 청소,1308000,하나공조
2026-07-22,인천산업정보학교,1인수의,용역,2026학년도 상반기 급식실 후드 청소 실시 지출,1300000,인천우진환경
2026-07-22,인천부현초등학교,1인수의,용역,2026학년도 학교급식시설 청소(용역)비 지원에 따른 여름방학중 청소 계획,1300000,와우홈크리닝
2026-07-14,인천한길초등학교,1인수의,용역,"2026학년도 상반기 학교급식 시설(후드,조리실,식당바닥) 청소 실시",1300000,인천우진환경
2026-07-14,인천산곡북초등학교,1인수의,용역,2026년 상반기 급식실 후드 및 기타 청소비 지출,1300000,인천우진환경
2026-06-26,인천봉수초등학교,1인수의,용역,강당동 계단 및 홀 바닥 청소,1300000,(주)뉴크린아트
2026-04-10,인천갈월초등학교,1인수의,용역,[학교급식] 학교급식시설 청소(용역)비,1300000,청목(꼼꼼한사람들)
2026-07-21,신현중학교,1인수의,용역,2026년도 정화조 청소 실시,1289600,주식회사 미래정화조
2026-03-11,인천고등학교,1인수의,용역,백주년 기념관 화장실 청소 실시(2~4층 6실),1280000,주식회사 크린웰
2026-04-01,석정중학교,1인수의,용역,청소원휴게실 냉난방기 철거 및 교체 구입 설치,1269400,삼성전자서비스(삼성시스템 ENG)
2026-04-08,용현중학교,1인수의,용역,교실 및 특별교실 선풍기 청소비 지급,1262800,(주)춘풍
2026-05-22,선인중학교,1인수의,용역,2026년도 정화조 청소 용역 대금 지급,1262100,장안실업
2026-04-13,인천신광초등학교,1인수의,용역,2026학년도 상/하반기 저수조 청소 비용 지급,1254000,대신환경방역공사
2026-07-20,인천검단호수초등학교,1인수의,용역,급식실 상반기 후드청소 용역비 지급,1250000,청목(꼼꼼한사람들)
2026-03-18,인천가현초등학교,1인수의,용역,교실 노후 바닥 개선을 위한 청소비,1250000,와우홈크리닝
2026-05-22,인천영선고등학교,1인수의,용역,2026학년도 정화조 청소대금 지급,1245000,그린환경
2026-04-07,관교중학교,1인수의,용역,2026학년도 여름 냉방기 가동을 위한 필터 청소 실시,1243000,제이원시스템
2026-06-12,부개여자고등학교,1인수의,용역,정행관 하브루타실 청소 용역,1235300,마스터크린
2026-05-14,인천신촌초등학교,1인수의,용역,2026학년도 선풍기 청소 실시,1234800,블루윈드
2026-07-08,인천해든초등학교,1인수의,용역,시설물청소원 병가에 따른 청소 대체근무 용역 실시,1230000,동연개발(주)
2026-03-27,인천명선초등학교,1인수의,용역,급식소 외부배관 소통 및 맨홀 청소,1224000,(주)진영공영
2026-04-22,인천간석초등학교,1인수의,용역,일반교실 및 관리실 에어컨 청소 실시,1220000,온누리종합환경
2026-05-19,인천청량초등학교,1인수의,용역,교내 선풍기 청소 실시,1214000,주식회사 서광에스케이
2026-07-27,동인천중학교,1인수의,용역,급식실 스팀보일러 세관 청소비 지급,1210000,(주)부스타
2026-04-23,인천여자고등학교,1인수의,용역,생태연못 청소 관리비 지출,1210000,조경나라
2026-07-14,인천계산초등학교,1인수의,용역,2026학년도 학교급식실 후드청소(8월)비 지급,1200000,인천우진환경
2026-06-08,인천미송유치원,1인수의,용역,지하주차장 바닥 청소,1200000,동연개발(주)
2026-04-15,안남고등학교,1인수의,용역,정화조 청소,1192600,황금환경
2026-05-20,신흥중학교,1인수의,용역,2026학년도 선풍기 청소,1185800,(주)새한에이치엠
2026-06-10,부개여자고등학교,1인수의,용역,2026년 정화조 청소,1180100,인천환경
2026-05-19,인천선학초등학교,1인수의,용역,냉방기(에어컨) 필터 청소 실시,1176450,더그린클린
2026-07-03,부개고등학교,1인수의,용역,2026년 학교 정화조 청소비 지급,1171800,인천환경
2026-04-23,인화여자중학교,1인수의,용역,2026년도 오수 정화조 청소,1165620,(주)인천환경개발공사
2026-04-24,인천상정초등학교,1인수의,용역,각 실 선풍기 청소,1162700,두영
2026-05-27,인천운남고등학교,1인수의,용역,상반기 에어컨 필터 청소,1158000,주식회사 서광에스케이
2026-04-17,인천계양초등학교,1인수의,용역,2026학년도 학교시설물(선풍기) 청소 실시,1155000,현대기획시설보수
2026-06-15,작전고등학교,1인수의,용역,학교 정화조 청소 실시,1151000,황금환경 주식회사
2026-04-23,검단고등학교,1인수의,용역,교내 공동구역 청소 비용 지급,1150000,(주)더불림
2026-04-27,인천장서초등학교,1인수의,용역,공기질 향상을 위한 교실 냉.난방기 필터 청소,1144000,(주)새한에이치엠
2026-07-03,가정여자중학교,1인수의,용역,2026년 정화조 청소 실시비 지급,1128120,연희환경
2026-04-03,인천영선초등학교,1인수의,용역,교내 선풍기 청소,1124200,와우홈크리닝
2026-06-23,인천남촌초등학교,1인수의,용역,2026년 냉난방기 청소용역 실시,1122000,제이원시스템
2026-03-25,인천새말초등학교,1인수의,용역,2026학년도 에코스마트팜 1차 식재 재료 구입 및 장비 청소,1115000,주식회사 그린베어
2026-06-17,인천송도초등학교,1인수의,용역,"본관동, 후관동, 강당동 등 냉난방기 필터 청소비",1105500,제이원시스템
2026-07-24,인천예일중학교,1인수의,용역,2026학년도 상반기 학교급식시설 청소(용역)비 지급,1100000,청목(꼼꼼한 사람들)
2026-07-20,인천신흥초등학교,1인수의,용역,2026학년도 학교급식 1차 후드청소 실시,1100000,(주)쎈큐
2026-07-20,인천승학초등학교,1인수의,용역,2026학년도 학교급식시설 청소(용역)비 지원에 따른 후드 청소 실시,1100000,주식회사 아톰
2026-07-20,인천당하중학교,1인수의,용역,2026학년도 상반기 급식실 후드덕트 청소 실시,1100000,창커뮤니케이션
2026-07-15,인천갈산초등학교,1인수의,용역,급식실 후드 및 급식실 청소 실시,1100000,주식회사 아톰
